                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93017,                 1.6154,                 4.8083,                0.98268,                0.00309,                0.07667,                0.00181,                 0.0015,                0.00284,                   0.07,                0.00167,                0.00103,                 0.8134,                 1.5414,                 4.3535,                0.96815,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                0.80339,                 1.4804,                 3.7761,                0.95032,                0.68108,                0.37243,                0.51214,                0.43842,                0.68108,                0.37243,                0.54517,                0.35832,                0.60679,                 1.1056,                 7.3074,                0.81445,             0.00012734,             0.00012734,             0.00012734
                      3,                 0.5952,                0.83691,                 1.9468,                0.83468,                0.38026,                0.74512,                  0.542,                0.46129,                0.38026,                0.74512,                0.54283,                0.37301,                0.57346,                 1.2009,                 1.3372,                0.83977,              0.0001961,              0.0001961,              0.0001961
                      4,                0.56528,                0.65194,                 1.6033,                0.82993,                 0.5742,                0.83444,                0.84944,                0.75094,                0.57235,                0.86111,                0.85604,                0.59448,                0.45157,                 1.0023,                 1.4413,                0.82863,             0.00026345,             0.00026345,             0.00026345
                      5,                0.58225,                0.61744,                 1.7843,                0.82143,                0.82246,                0.82917,                0.87676,                0.77419,                0.83315,                 0.8218,                0.87135,                0.63661,                0.45744,                0.96583,                 1.1465,                 0.8308,             0.00032938,             0.00032938,             0.00032938
                      6,                0.57895,                0.82547,                 1.2934,                 0.8172,                0.71744,                0.83005,                0.79288,                0.65655,                0.71744,                0.83005,                0.79213,                0.54253,                0.69256,                0.77147,                 1.8535,                0.85019,              0.0003939,              0.0003939,              0.0003939
                      7,                0.61854,                  0.795,                 1.3922,                0.82911,                0.83581,                0.75314,                 0.8356,                0.72296,                0.83581,                0.75314,                0.82703,                0.61307,                 0.5033,                0.74723,                 1.5742,                0.83401,               0.000457,               0.000457,               0.000457
                      8,                0.57508,                  0.728,                 1.0092,                0.82484,                0.79778,                0.69536,                0.78221,                0.66264,                0.79778,                0.69536,                0.77842,                0.56195,                0.55243,                0.96757,                 1.5923,                0.83394,             0.00051869,             0.00051869,             0.00051869
                      9,                0.70539,                 1.0028,                 1.2036,                0.85228,                0.46372,                0.70737,                0.46116,                0.39947,                0.46372,                0.70737,                0.46014,                0.34904,                0.49906,                0.84406,                 33.121,                0.82383,             0.00057896,             0.00057896,             0.00057896
                     10,                0.60681,                0.72655,                 1.1075,                0.82438,                0.57207,                 0.7032,                0.66397,                0.57027,                0.57207,                 0.7032,                0.66446,                0.48707,                0.58054,                0.74983,                  1.248,                0.83909,             0.00063782,             0.00063782,             0.00063782
                     11,                 0.6064,                0.54499,                 1.1503,                0.83441,                0.31977,                0.61019,                0.38748,                0.33938,                0.31977,                0.61019,                0.38753,                0.29634,                0.53901,                0.84506,                    inf,                0.83048,             0.00069527,             0.00069527,             0.00069527
                     12,                0.58027,                0.66406,                 1.1604,                0.83421,                0.69159,                0.79544,                0.77646,                0.68001,                0.68902,                0.79301,                0.77652,                0.55581,                0.54527,                 1.0265,                 1.3075,                0.83332,              0.0007513,              0.0007513,              0.0007513
                     13,                0.58389,                0.73088,                 1.1592,                0.84304,                0.80817,                0.83666,                0.87557,                0.73077,                0.80817,                0.83666,                0.87698,                0.60503,                0.55045,                 1.0693,                0.94413,                0.83356,             0.00080591,             0.00080591,             0.00080591
                     14,                 0.5902,                0.63448,                0.98487,                0.81558,                0.75427,                0.73714,                0.86838,                0.73608,                0.75427,                0.73714,                 0.8547,                0.60155,                0.58618,                 1.1134,                 1.7128,                0.83881,             0.00085911,             0.00085911,             0.00085911
                     15,                0.59674,                0.64843,                0.98736,                0.82651,                0.73782,                0.89844,                0.88697,                0.73321,                0.73782,                0.89844,                0.89088,                0.61239,                0.63982,                0.80983,                 1.2522,                0.84833,              0.0009109,              0.0009109,              0.0009109
                     16,                0.66102,                0.58411,                 1.1013,                 0.8519,                0.50414,                0.81889,                0.75447,                 0.6485,                0.51045,                0.82556,                0.76379,                 0.5338,                0.56217,                0.76592,                 1.3855,                0.83876,             0.00096127,             0.00096127,             0.00096127
                     17,                0.65704,                0.75315,                0.98503,                0.83845,                0.81813,                0.72409,                0.88099,                0.75982,                0.81813,                0.72217,                0.87009,                0.62725,                0.60263,                0.83991,                 1.0329,                0.84548,              0.0010102,              0.0010102,              0.0010102
                     18,                0.65034,                0.70325,                 1.0914,                0.85309,                0.78454,                0.85345,                0.89595,                0.75185,                0.78454,                0.85345,                 0.8973,                0.63523,                0.58981,                0.74749,                 1.1424,                0.84264,              0.0010578,              0.0010578,              0.0010578
                     19,                0.66061,                0.65061,                0.98517,                 0.8356,                 0.6189,                0.72768,                0.77739,                0.67223,                 0.6189,                0.72768,                0.77868,                 0.5492,                 0.5517,                0.68806,                 1.1917,                 0.8356,              0.0011039,              0.0011039,              0.0011039
                     20,                0.68101,                0.70537,                0.98153,                0.84045,                0.52761,                0.77422,                0.55811,                0.47256,                0.52761,                0.77422,                0.55898,                0.42283,                0.59642,                0.89071,                 2.3159,                0.84923,              0.0011486,              0.0011486,              0.0011486
                     21,                0.64277,                0.64797,                 0.9202,                0.82981,                0.59341,                0.80844,                0.60497,                0.53042,                0.59341,                0.80844,                0.60474,                0.45764,                0.51662,                0.69651,                 1.7954,                0.83327,              0.0011461,              0.0011461,              0.0011461
                     22,                0.59297,                0.77646,                0.87536,                0.84592,                0.49039,                0.86328,                0.55444,                0.48574,                0.49039,                0.86328,                 0.5544,                0.40699,                0.52001,                0.70321,                 1.8409,                0.83624,              0.0011461,              0.0011461,              0.0011461
                     23,                0.65178,                0.63314,                0.89063,                0.83061,                0.79818,                0.71596,                0.79648,                0.66018,                0.79818,                0.71596,                 0.7964,                0.55682,                0.62295,                  1.009,                 1.4044,                0.85143,              0.0011319,              0.0011319,              0.0011319
                     24,                0.67533,                0.70915,                 1.0115,                0.87964,                0.62688,                   0.71,                0.74802,                0.65578,                0.62688,                   0.71,                0.74657,                0.54426,                0.57954,                0.75263,                 1.3826,                0.83446,              0.0011178,              0.0011178,              0.0011178
                     25,                0.61571,                0.73718,                  1.226,                 0.8555,                0.58344,                0.82295,                0.75215,                0.65424,                0.58648,                0.82865,                0.75459,                0.54732,                0.61211,                0.69873,                 1.5478,                0.83912,              0.0011036,              0.0011036,              0.0011036
